


# This file contains the master records for the reading & meaning fields
# of the dictionary. For a better overview and to make it easier to obtain
# non-contradictory data for character variants, it is organized by variant
# groups, with the biggest groups coming first and the characters without
# variants (within the selected gamut of slightly shy of 10000 characters)
# come last. This grouping is a mere convenience; should variant groups be
# modified, changes should be manually made to this file.

# A number of variant groups has been marked `@sync`, followed by the characters
# in that group. In synchronized character groups, the first character in the
# argument to `@sync` is the lead character, which means that all fields for
# the other characters inherit the value given for the lead character in the
# respective field, unless an explicit value is given for the variant. Such
# an explicit value can be given literally or symbolically; where no value should
# appear, the field value has been set to `@null`.

# ⒸⒿⓀⓉⒽⓂ

# Since combining diacritics often don't display well and are difficult to copy-and-paste
# correctly, readings with the pinyin vowel ê have been transcribed with numerical tones
# as ê1, ê2, ê3, ê4.


#------------------------------------------------------------------------------------------------------------
# 表意文字空格
# removed as it is punctuation
@glyphs	𠚤
u-cjk-xb/206a4	𠚤	gloss:(mainly Ⓙ: repeats preceding character)

@glyphs	締缔〆
u-cjk/7de0	締	py:dì
u-cjk-sym/3006	〆	py:@null
u-cjk/7de0	締	ka:テイ
u-cjk-sym/3006	〆	ka:@null
u-cjk/7de0	締	hi:し·(まる|まり|める|め), じ·め
u-cjk-sym/3006	〆	hi:し·める
u-cjk/7de0	締	hg:체
u-cjk-sym/3006	〆	hg:@null
u-cjk/7de0	締	gloss:tie, join, connect; connection
u-cjk-sym/3006	〆	gloss:(only Ⓙ: mark on an envelope to seal it)

#------------------------------------------------------------------------------------------------------------

@glyphs	&jzr#xe11a;
jzr-fig/e11a	&jzr#xe11a;	gloss:(simplified form of 䜌 when used as a top component)

@glyphs	聿肀&jzr#xe186;⺻
u-cjk/807f	聿	py:yù
u-cjk/807f	聿	ka:イチ, イツ
u-cjk/807f	聿	hi:ふで
u-cjk/807f	聿	hg:율
u-cjk/807f	聿	gloss:writing brush, pencil; thereupon
u-cjk/8080	肀	gloss:(variant of 聿)
jzr-fig/e186	&jzr#xe186;	gloss:(variant of 聿)
u-cjk-rad2/2ebb	⺻	gloss:(variant of 聿)

@glyphs	蘇囌穌稣甦苏
u-cjk/8607	蘇	py:sū
u-cjk/8607	蘇	ka:ソ, ス
u-cjk/7526	甦	ka:ソ, コウ
u-cjk/7a4c	穌	ka:ソ
u-cjk/7a23	稣	ka:ソ
u-cjk/56cc	囌	ka:ソ
u-cjk/8607	蘇	hi:よみがえ·る
u-cjk/56cc	囌	hi:よくしゃべ·る
u-cjk/8607	蘇	hg:소
u-cjk/8607	蘇	gloss:a species of thyme; tlit. of 'Soviet'; be reborn, revive, resuscitate
u-cjk/7a4c	穌	gloss:be reborn, revive, resuscitate
u-cjk/7526	甦	gloss:be reborn, revive, resuscitate
u-cjk/7a23	稣	gloss:be reborn, revive, resuscitate
u-cjk/56cc	囌	gloss:loquacious; nag

@glyphs	并併幷竝並倂
u-cjk/5e76	并	py:bìng, bīng
u-cjk/4f75	併	py:bìng
u-cjk/5002	倂	py:bìng
u-cjk/5e76	并	ka:ヘイ
u-cjk/5e76	并	hi:なみ, な·み, なら·(べる|ぶ|びに)
u-cjk/4f75	併	hi:あわ·せる
u-cjk/5002	倂	hi:あわ·せる
u-cjk/5e76	并	hg:병
u-cjk/5e76	并	gloss:combine; side by side; besides

@glyphs	劃划
u-cjk/5283	劃	py:huà, huá, huai
u-cjk/5283	劃	ka:カク
u-cjk/5283	劃	hg:획
u-cjk/5283	劃	gloss:divide; plan; scratch; paddle

@glyphs	畫画畵
u-cjk/756b	畫	py:huà
u-cjk/756b	畫	ka:ガ, カク
u-cjk/756b	畫	hi:え, えが·く
u-cjk/756b	畫	hg:획, 화
u-cjk/756b	畫	gloss:picture; to paint, draw; a stroke

@glyphs	間间
u-cjk/9593	間	py:jiān, jiàn
u-cjk/9593	間	ka:カン, ケン
u-cjk/9593	間	hi:あい, あいだ, ま
u-cjk/9593	間	hg:간
u-cjk/9593	間	gloss:interval, space; room; between


@glyphs	閑闲
u-cjk/9591	閑	py:xián
u-cjk/9591	閑	ka:カン
u-cjk/9591	閑	hi:が, より，しずか
u-cjk/9591	閑	hg:한
u-cjk/9591	閑	gloss:leisure; free time; fence; defense

@glyphs	閒𫔮
u-cjk/9592	閒	py:xián, jiān, jiàn
u-cjk/9592	閒	ka:カン, ケン
u-cjk/9592	閒	hg:한, 간
u-cjk/9592	閒	gloss:(formerly used for both 閑 and 間)

@glyphs	他她牠祂它
u-cjk/4ed6	他	py:tā
u-cjk/4ed6	他	ka:タ
u-cjk/4ed6	他	hi:ほか
u-cjk/5979	她	hi:@null
u-cjk/7260	牠	hi:@null
u-cjk/5b83	它	hi:@null
u-cjk/7942	祂	hi:@null
u-cjk/4ed6	他	hg:타
u-cjk/5979	她	gloss:she, her
u-cjk/7260	牠	gloss:it; other
u-cjk/4ed6	他	gloss:he (she, it); other, another
u-cjk/5b83	它	gloss:it; other
u-cjk/7942	祂	gloss:He (referring to God)

@glyphs	佗
u-cjk/4f57	佗	py:tuó
u-cjk/4f57	佗	ka:タ, イ
u-cjk/4f57	佗	hi:わび·しい, ほか, わ·びる
u-cjk/4f57	佗	hg:타
u-cjk/4f57	佗	gloss:load

@glyphs	發髮发発髪
u-cjk/767c	發	py:fā
u-cjk/9aee	髮	py:fà, fǎ
u-cjk/53d1	发	py:fā, fa, fà
u-cjk/767a	発	py:fā
u-cjk/9aea	髪	py:fà
u-cjk/767c	發	ka:ハツ, ホツ
u-cjk/9aee	髮	ka:ハツ
u-cjk/767a	発	ka:ハツ, ホツ
u-cjk/9aea	髪	ka:ハツ
u-cjk/9aee	髮	hi:かみ
u-cjk/9aea	髪	hi:かみ
u-cjk/767c	發	hg:발
u-cjk/9aee	髮	hg:발
u-cjk/767a	発	hg:발
u-cjk/9aea	髪	hg:발
u-cjk/767c	發	gloss:issue, dispatch, send out, emit
u-cjk/9aee	髮	gloss:hair
u-cjk/53d1	发	gloss:issue, dispatch, send out, emit; hair
u-cjk/767a	発	gloss:issue, dispatch, send out, emit
u-cjk/9aea	髪	gloss:hair

@glyphs	鐵銕鉄鐡铁
u-cjk/9435	鐵	py:tiě
u-cjk/9435	鐵	ka:テツ
u-cjk/9435	鐵	hi:くろがね
u-cjk/9435	鐵	hg:철
u-cjk/9435	鐵	gloss:iron; strong, solid, firm

@glyphs	徑俓逕迳径
u-cjk/5f91	徑	py:jìng
u-cjk/5f91	徑	ka:ケイ
u-cjk/5f91	徑	hi:みち, こみち, さしわたし, ただちに
u-cjk/5f91	徑	hg:경
u-cjk/5f91	徑	gloss:narrow path; direct; diameter

@glyphs	猇
u-cjk/7307	猇	py:xiāo
u-cjk/7307	猇	ka:コウ, キョウ
u-cjk/7307	猇	hg:효
u-cjk/7307	猇	gloss:tiger's roar

@glyphs	嚇唬吓
u-cjk/552c	唬	py:hǔ, xià
u-cjk/5687	嚇	py:xià, hè
u-cjk/5413	吓	py:xià, hè
u-cjk/552c	唬	ka:コウ
u-cjk/5687	嚇	ka:カク
u-cjk/5687	嚇	hi:おど·す
u-cjk/552c	唬	hg:호
u-cjk/5687	嚇	hg:하, 혁
u-cjk/552c	唬	gloss:to intimidate; to scare
u-cjk/5687	嚇	gloss:scare, frighten; intimidate

@glyphs	礦矿砿鑛鉱
u-cjk/7926	礦	py:kuàng
u-cjk/7926	礦	ka:コウ
u-cjk/7926	礦	hi:あらがね
u-cjk/7926	礦	hg:광
u-cjk/7926	礦	gloss:mine; mineral, ore

@glyphs	劍剑剣剱劒
u-cjk/528d	劍	py:jiàn
u-cjk/528d	劍	ka:ケン
